2026-09-01 03:57:35.971 [info] Reading sessions from keychain...
2026-09-01 03:57:35.971 [info] Got stored sessions!
2026-09-01 03:57:35.971 [info] Got 6 verified sessions.
2026-09-01 03:57:35.971 [info] Getting sessions for all scopes...
2026-09-01 03:57:35.971 [info] Got 6 sessions for ...
2026-09-01 03:57:35.971 [info] Getting sessions for all scopes...
2026-09-01 03:57:35.971 [info] Got 6 sessions for ...
2026-09-01 03:57:35.971 [info] Getting sessions for all scopes...
2026-09-01 03:57:35.972 [info] Got 6 sessions for ...
2026-09-01 03:57:35.972 [info] Getting sessions for all scopes...
2026-09-01 03:57:35.972 [info] Got 6 sessions for ...
2026-09-01 03:57:35.972 [info] Getting sessions for user:email...
2026-09-01 03:57:35.972 [info] Got 1 sessions for user:email...
2026-09-01 03:57:35.972 [info] Getting sessions for all scopes...
2026-09-01 03:57:35.972 [info] Got 6 sessions for ...
2026-09-01 03:57:35.972 [info] Getting sessions for all scopes...
2026-09-01 03:57:35.972 [info] Got 6 sessions for ...
2026-09-01 03:57:35.972 [info] Getting sessions for codespace,read:user,repo,user:email...
2026-09-01 03:57:35.972 [info] Got 1 sessions for codespace,read:user,repo,user:email...
2026-09-01 03:57:35.972 [info] Getting sessions for all scopes...
2026-09-01 03:57:35.972 [info] Got 6 sessions for ...
2026-09-01 03:57:36.541 [info] Getting sessions for all scopes...
2026-09-01 03:57:36.541 [info] Got 6 sessions for ...
2026-09-01 03:57:36.940 [info] Getting sessions for project,read:org,read:user,repo,user:email,workflow...
2026-09-01 03:57:36.940 [info] Got 0 sessions for project,read:org,read:user,repo,user:email,workflow...
2026-09-01 03:57:37.104 [info] Getting sessions for all scopes...
2026-09-01 03:57:37.104 [info] Got 6 sessions for ...
2026-09-01 03:57:37.898 [info] FetcherService: Node fetch failed with status: 429 Too Many Requests
2026-09-01 03:57:37.906 [info] Unable to resolve optional EDU details. Status: 429 Too Many Requests
2026-09-01 03:57:38.032 [info] Getting sessions for all scopes...
2026-09-01 03:57:38.033 [info] Got 6 sessions for ...
2026-09-01 03:57:38.309 [info] Getting sessions for read:user,repo,user:email,workflow...
2026-09-01 03:57:38.309 [info] Got 1 sessions for read:user,repo,user:email,workflow...
2026-09-01 03:57:38.313 [info] Getting sessions for all scopes...
2026-09-01 03:57:38.313 [info] Got 6 sessions for ...
2026-09-01 03:57:39.552 [info] Getting sessions for read:user,repo,user:email,workflow...
2026-09-01 03:57:39.552 [info] Got 1 sessions for read:user,repo,user:email,workflow...
2026-09-01 03:59:49.617 [info] Getting sessions for all scopes...
2026-09-01 03:59:49.617 [info] Got 6 sessions for ...
2026-09-01 03:59:49.662 [info] Getting sessions for all scopes...
2026-09-01 03:59:49.662 [info] Got 6 sessions for ...
2026-09-01 04:00:19.980 [info] Getting sessions for all scopes...
2026-09-01 04:00:19.980 [info] Got 6 sessions for ...
2026-09-01 04:00:20.027 [info] Getting sessions for all scopes...
2026-09-01 04:00:20.027 [info] Got 6 sessions for ...
2026-09-01 04:00:32.940 [info] Getting sessions for all scopes...
2026-09-01 04:00:32.940 [info] Got 6 sessions for ...
2026-09-01 04:00:32.983 [info] Getting sessions for all scopes...
2026-09-01 04:00:32.983 [info] Got 6 sessions for ...
2026-09-01 04:01:07.164 [info] Getting sessions for all scopes...
2026-09-01 04:01:07.164 [info] Got 6 sessions for ...
2026-09-01 04:01:07.214 [info] Getting sessions for all scopes...
2026-09-01 04:01:07.214 [info] Got 6 sessions for ...
2026-09-01 04:01:55.461 [info] Getting sessions for all scopes...
